parametro_variado,valor_parametro,num_particulas,w,c1,c2,media_gbest,desvio_gbest,media_avaliacoes,taxa_sucesso,melhor_gbest,pior_gbest,coeficiente_variacao,gbest_valores_individuais,avaliacoes_individuais
num_particulas,10.0,10,0.8,1.8,2.1,-871.4292172571913,187.03133869526093,363.0,0.3,-1046.4740826592654,-554.8624552409435,0.21462596730912797,"[np.float64(-720.2778572790671), np.float64(-1030.444788844359), np.float64(-773.7509558755906), np.float64(-1040.875703666603), np.float64(-1046.4740826592654), np.float64(-583.8890965274062), np.float64(-1045.3777062280933), np.float64(-1005.1695026237433), np.float64(-554.8624552409435), np.float64(-913.1700236268426)]","[360, 440, 260, 510, 340, 290, 680, 230, 300, 220]"
num_particulas,15.0,15,0.8,1.8,2.1,-889.3981486154278,162.63506281919774,709.5,0.3,-1046.6421038655844,-598.8873978335627,0.18285968221586718,"[np.float64(-1046.2496799203666), np.float64(-1046.366934592395), np.float64(-904.1511303688826), np.float64(-773.7666666252137), np.float64(-1046.6421038655844), np.float64(-991.4329546273558), np.float64(-1046.5927557441923), np.float64(-598.8873978335627), np.float64(-720.2865156780679), np.float64(-719.6053468986563)]","[1095, 570, 555, 915, 885, 420, 1185, 405, 795, 270]"
num_particulas,20.0,20,0.8,1.8,2.1,-986.180978730535,108.6476010823642,940.0,0.3,-1046.3623485068556,-720.2865259687572,0.11017004325333998,"[np.float64(-1042.1393722247076), np.float64(-1016.9232702422847), np.float64(-1046.3623485068556), np.float64(-1044.0545301880466), np.float64(-720.2865259687572), np.float64(-1045.8239811941944), np.float64(-1042.0475473610281), np.float64(-830.2772957122612), np.float64(-1045.8014470612725), np.float64(-1028.0934688459424)]","[800, 560, 1100, 980, 1860, 640, 840, 1060, 1020, 540]"
num_particulas,25.0,25,0.8,1.8,2.1,-992.7718991106158,99.20806860751283,1422.5,0.3,-1046.6955234898508,-773.7607679153996,0.09993037544312981,"[np.float64(-1046.6785911324664), np.float64(-1046.2820114968933), np.float64(-1046.6274646218144), np.float64(-1046.6467484950624), np.float64(-773.7607679153996), np.float64(-1013.8127152810939), np.float64(-1046.6371492388662), np.float64(-1046.6955234898508), np.float64(-1041.6985850673009), np.float64(-818.8794343674094)]","[2200, 2500, 1225, 2500, 1125, 700, 1025, 1625, 700, 625]"
num_particulas,30.0,30,0.8,1.8,2.1,-984.2323063826076,119.39714823282752,1404.0,0.3,-1046.6877853548806,-720.2817188766275,0.12130992597840354,"[np.float64(-1046.6178630932134), np.float64(-773.720661427597), np.float64(-1045.6307241936956), np.float64(-1024.1063812250463), np.float64(-1046.4099457478271), np.float64(-1046.3159999742356), np.float64(-1046.6877853548806), np.float64(-1046.4892667158513), np.float64(-720.2817188766275), np.float64(-1046.0627172171007)]","[1920, 1740, 1350, 990, 780, 660, 2370, 1860, 1320, 1050]"
num_particulas,35.0,35,0.8,1.8,2.1,-1046.4354694599147,0.3743422913968162,1823.5,0.3,-1046.6978187037153,-1045.5126481219545,0.0003577308895980193,"[np.float64(-1046.696477928394), np.float64(-1046.6978187037153), np.float64(-1046.005615304218), np.float64(-1046.5805264244818), np.float64(-1046.6497203348931), np.float64(-1045.5126481219545), np.float64(-1046.2778916229413), np.float64(-1046.697733112986), np.float64(-1046.5993388283314), np.float64(-1046.6369242172325)]","[2065, 1925, 1120, 1295, 2520, 1015, 1680, 2590, 2485, 1540]"
w,0.4,15,0.4,1.8,2.1,-884.4511519036532,210.04581264348144,1399.5,0.5,-1046.698837035314,-535.1331897012136,0.23748718308680836,"[np.float64(-720.2865259722187), np.float64(-1046.6988370353138), np.float64(-1046.6973182899928), np.float64(-1046.698837035314), np.float64(-535.1331897012136), np.float64(-773.7671101953247), np.float64(-535.1331897012136), np.float64(-1046.6988370353138), np.float64(-1046.6988370353138), np.float64(-1046.6988370353138)]","[1140, 1500, 1500, 1500, 1275, 1305, 1500, 1500, 1485, 1290]"
w,0.6,15,0.6,1.8,2.1,-931.9745064812694,186.94605764165402,1381.5,0.3,-1046.6988370352165,-498.99976329845396,0.20059138564581672,"[np.float64(-720.2865259722182), np.float64(-1046.6988370340482), np.float64(-1046.6988370180889), np.float64(-773.5949520253605), np.float64(-1046.6725308259415), np.float64(-1046.697107573888), np.float64(-1046.6988369957612), np.float64(-1046.698837033717), np.float64(-1046.6988370352165), np.float64(-498.99976329845396)]","[1500, 1500, 1305, 1125, 1500, 960, 1500, 1500, 1500, 1425]"
w,0.8,15,0.8,1.8,2.1,-949.610173654008,181.31810001248283,559.5,0.3,-1046.6973461911548,-466.2003810179867,0.1909395086983834,"[np.float64(-1045.4696367570787), np.float64(-1040.9286670829024), np.float64(-466.2003810179867), np.float64(-773.7550404015599), np.float64(-1046.6750755550686), np.float64(-939.4383191886996), np.float64(-1046.4475344975583), np.float64(-1043.8431407346122), np.float64(-1046.6465951134578), np.float64(-1046.6973461911548)]","[405, 435, 285, 465, 840, 405, 420, 465, 825, 1050]"
w,1.0,15,1.0,1.8,2.1,-820.0499612221622,177.0987125807586,409.5,0.3,-1044.5131100279827,-457.5895420481123,0.21596088159899351,"[np.float64(-457.5895420481123), np.float64(-773.6454327918975), np.float64(-592.2628771539258), np.float64(-956.5778606192717), np.float64(-773.3384005393882), np.float64(-909.4158873778028), np.float64(-773.7575192850809), np.float64(-896.9186628355866), np.float64(-1022.4803195425721), np.float64(-1044.5131100279827)]","[255, 450, 375, 435, 450, 555, 300, 570, 285, 420]"
